County,Waste_Type,Operatio_ Type,Permit_ID,Permit_Name,Status,Contact,Telephone,Address1,Address2,Address3,City,Sate,Zip
Onslow,MSW,LF,6708-MSWLF-1997,Camp Lejeune MSW Landfill,Active,Ms. Katherine Proffitt,(910) 451-5836,12 Post Lane,Piney Green Road,,Camp Lejeune,NC,28547
Onslow,MSW,LF,6709-MSWLF-1997,Onslow County Landfill,Active,Mr. Randall Vanover,(910) 989-2107,415 Meadowview Road,,,Jacksonville,NC,28540
Pamlico,MSW,Trans,6903T-TRANSFER-1993,Pamlico County Transfer Station,Active,Mr. Bobby Darden,(252) 633-1564,PO Box 138,3291 Highway 306 North,,Cove City,NC,28523
Pasquotank,MSW,Trans,7003T-TRANSFER-1994,Pasquotank County Transfer Station,Active,Mr. Bradley Gardner,(252) 335-4105,PO Box 39,983 Simpson Ditch Road,,Elizabeth City,NC,27907
Pender,MSW,Trans,7103T-TRANSFER-1990,Pender County Transfer Station,Active,Mr. Kenny Keel,(910) 259-0212,PO Box 995,250 Transfer Station Rd,,Burgaw,NC,28425
Perquimans,MSW,Trans,7202T-TRANSFER-1995,Perquimans-Chowan-Gates Transfer,Active,Ms. Angel White,(252) 297-6524,PO Box 189,759 Perry's Bridge Rd,,Elizabeth City,NC,27907-0189
Person,MSW,LF,7304-MSWLF-1997,Upper Piedmont Regional Landfill,Active,Mr. Matthew Einsmann,(919) 354-3227,9650 Oxford Road,,,Rougemont,NC,27572
Pitt,MSW,Trans,7404T-MWP-1996,Pitt County Transfer Station,Active,Mr. John Demary,(252) 902-3355,3025 Landfill Road,,,Greenville,NC,27834
Pitt,MSW,Trans,7406T-TRANSFER-2001,EJE Recycling Transfer Station,Active,Mr. Judson Whitehurst,(252) 752-8274,802 Recycling Lane,,,Greenville,NC,27834
Polk,MSW,Trans,7504T-TRANSFER-2005,Polk County Transfer Station,Active,Mr. LARRY WALKER,(828) 894-3737,PO BOX 308,322 LANDFILL ROAD,,Columbus,NC,28722
Randolph,MSW,Trans,7605T-TRANSFER-2002,"Asheboro, City of Recycling/SW Transfer Station",Active,Mr. Rusty Turner,(336) 625-2944,PO Box 1106,630 Transfer Station Place,,Asheboro,NC,27204-1106
Randolph,MSW,LF,7607-MSWLF-2015,Great Oak Landfill,Active,Mr. Mike Mcfeeley,(336) 865-3201,3597 Old Cedar Falls Road,,,Randleman,NC,27317
Richmond,MSW,Trans,7703T-TRANSFER-1994,Richmond County Transfer Facility,Active,Mr. Bryan Leggett,(910) 997-8338,191 Walter Kelly Rd,,,Rockingham,NC,28379
Robeson,MSW,LF,7803-MSWLF-1997,Robeson County Landfill,Active,Mr. Harrell Walters,(910) 865-3348,PO Box 366,246 Landfill Road,,Saint Pauls,NC,28384
Rockingham,MSW,Trans,7902T-TRANSFER-1991,Rockingham CountyTransfer Facility,Active,Mr. Gary French,(336) 349-1074,1100 Vance St.,709 Marcellus St.,,Reidsville,NC,27320
Rockingham,MSW,Trans,7903T-TRANSFER-1991,"Eden, City of Transfer Station",Active,Mr. Dusty Curry,(336) 623-7783,308 E. Stadium Dr.,123 Mebane Bridge Rd.,,Eden,NC,27288
Rockingham,MSW,LF,7904-MSWLF-1995,Rockingham County Landfill,Active,Mr. Ronald Tate,(336) 342-8104,281 Shuff Road,,,Madison,NC,27025
Rowan,MSW,LF,8003-MSWLF-1988,Rowan County Landfill,Active,Mr. Caleb Sinclair,(704) 216-8606,789 Campbell Road,,,Woodleaf,NC,27054
Rowan,MSW,Trans,8004T-TRANSFER-1995,East Spencer Waste Transfer Facility,Active,Mr. Timothy Owens,(252) 230-2609,204 Balfour Quarry Rd,1000 N Long St,,Granite Quarry,NC,28146
Rutherford,MSW,Trans,8104T-TRANSFER-1998,Rutherford County Transfer Facility,Active,Mr. James Kilgo,(828) 287-6002,PO Box 1957,656 Laurel Hill Dr.,,Rutherfordton,NC,28139
Sampson,MSW,LF,8202-MSWLF-2000,"Sampson County Disposal, LLC",Active,Mr. Joseph Smith,(910) 525-4132,PO Box 640,7434 Roseboro Hwy,,Roseboro,NC,28382
Scotland,MSW,Trans,8302T-TRANSFER-1997,Scotland County Transfer Station,Active,Mr. Bryant Higgins,(910) 844-9206,PO Box 489,21104 Old Maxton Rd,,Laurinburg,NC,28353
Stanly,MSW,LF,8401-MSWLF-1999,"Albemarle, City of Landfill",Active,Mr. Darren Preslar,(704) 984-9680,PO Box 190,40592b Stony Gap Road,,Albemarle,NC,28002-0190
Surry,MSW,LF,8606-MSWLF-1998,Surry County MSWLF,Active,Mrs. Jessica Montgomery,(336) 401-8375,PO Box 342,237 Landfill Road,,Dobson,NC,27017
Swain,MSW,Trans,8702T-TRANSFER-,Swain County Transfer Facility,Active,Mr. Jerry Jenkins,(828) 735-2921,1422 Hwy 19 South,,,Bryson City,NC,28713
Transylvania,MSW,LF,8807-MSWLF-1990,Transylvania County Landfill,Active,Mr. Kenn Webb,(828) 884-1842,500 Howell Road,,,Brevard,NC,28712
Union,MSW,Trans,9005T-TRANSFER-1999,Union County Transfer Station,Active,Mr. Christopher Medlin,(704) 989-1949,2125 Austin Chaney Road,,,Wingate,NC,28174
Union,MSW,Trans,9014-TRANSFER-2014,Waste Connections Monroe Transfer Station,Active,Mr. Pat Austin,(980) 214-0545,3405 Westwood Industrial Dr.,,,Monroe,NC,28110
Vance,MSW,Trans,9102T-TRANSFER-1997,Vance County Transfer Station,Active,Mr. Randy Deming,(260) 579-1861,241 Vanco Mill Road,3453 Hwy 39 N,,Henderson,NC,27537
Wake,MSW,Trans,9211T-TRANSFER-1990,"Cary, Town of Transfer Station",Active,Mr. Jesse Troublefield,(919) 462-2069,PO Box 8005,313 N. Dixon Ave.,,Cary,NC,27512-8005
Wake,MSW,Trans,9215T-TRANSFER-1994,Waste Management Of Raleigh/Durham Transfer Station,Active,Mr. Trvis Mccling,(919) 389-3362,10411 Globe Rd,,,Morrisville,NC,27560
Wake,MSW,Trans,9217-TRANSFER-1994,WI Garner Transfer Station,Active,Mr. Nicholas Zdeb,(919) 662-7100,3741 Conquest Drive,,,Garner,NC,27529
Wake,MSW,LF,9222-MSWLF-2008,Wake County South Wake MSWLF,Active,Mr. Roy Baldwin,(919) 856-5695,6300 Old Smithfield Road,,,Apex,NC,27539
Wake,MSW,Trans,9233T-TRANSFER-2008,"Raleigh, City of East Wake Transfer Station",Active,Mr. Roy Baldwin,(919) 856-5695,820 Corporation Parkway,,,Raleigh,NC,27610
Wake,MSW,Trans,9241-TRANSFER-2020,"Morrisville Transfer Station, LLC",Active,Mr. Josh Daher,(919) 832-8234,103 Rupert Rd,230 International Dr,,Raleigh,NC,27603
Wake,MSW,Trans,9242-TRANSFER-2020,Wall Recycling - Garner Road,Active,Mr. Dustin Hill,(919) 582-7777,2310 Garner Road,2126 Garner Road,,Raleigh,NC,27610
Warren,MSW,Trans,9302T-TRANSFER-1995,Warren County Transfer Station,Active,Mr. Marshall Brothers,(252) 257-1948,712 US Highway 158 Business West,559 Baltimore Road,,Warrenton,NC,27589
Watauga,MSW,Trans,9503T-TRANSFER-1996,Watauga Co Transfer Facility,Active,Mr. Rex Buck,(828) 264-5305,336 Landfill Road,,,Boone,NC,28607
Wayne,MSW,LF,9606-MSWLF-1998,Wayne County Landfill,Active,Mr. Tim Rogers,(919) 689-2994,460b South Landfill Road,,,Dudley,NC,28333
Wayne,MSW,Trans,9607T-TRANSFER-1997,"Goldsboro, City of Transfer Station",Active,Mr. Tomey Jones,(919) 739-7450,1601 Clingman St,905 Brick Street,,Goldsboro,NC,27530
Wilkes,MSW,LF,9704-MSWLF-1993,Wilkes County MSWLF,Active,Mrs. Anderia Byrd,(336) 696-5806,PO Box 389,9219 Elkin Highway,,Roaring River,NC,28669
Wilson,MSW,Trans,9806T-TRANSFER-1997,Waste Industries Wilson Transfer St.,Active,Mr. Michael Lee,(252) 885-0201,PO Box 1831,2810 Contentnea Rd,,Wilson,NC,27894
Wilson,MSW,Trans,9808T-TRANSFER-2000,Black Creek Road Transfer Station,Active,Mr. Michael Lee,(252) 885-0201,PO Box 1831,3031 Black Creek Road,,Wilson,NC,27894
Yadkin,MSW,Trans,9903T-TRANSFER-1994,Yadkin County Transfer Facility,Active,Mr. Drew Hinkle,(336) 849-7515,PO Box 220,1149 Landfill Rd,,Yadkinville,NC,27055
Yancey,MSW,Trans,10003T-TRANSFER-1995,Yancey-Mitchell Transfer Station,Active,Mrs. Teresa Summerlin,(828) 675-4043,555 Landfill Road,,,Burnsville,NC,28714
Cabarrus,Tire,LF,1303-TIRELF-1988,US Tire Recycling Partners LP,Active,Mr. Gene Helton,(704) 784-1210,6322 Poplar Tent Rd,,,Concord,NC,28023
Cabarrus,Tire,TP,1310-TIRETP-2012,US Tire Recycling Partners LP,Active,Mr. Gene Helton,(704) 784-1210,6322 Poplar Tent Rd,,,Concord,NC,28027
Franklin,Tire,TP,3507-TIRETP-2016,"PRTI, INC.",Active,Mr. Chris Clagett,(919) 272-4415,2105 US 1 HWY,,,Franklinton,NC,27525
Guilford,Tire,TP,4119TP-TIRETP-,Guilford Cty Scrap Tire & White Goods Collection Facility,Active,Mr. Clyde Harding,(336) 641-3792,2138 Bishop Road,,,Greensboro,NC,27406
Harnett,Tire,LF,4304-TIRELF-1992,Central Carolina Tire Monofill,Active,Mr. Brian Thomas,(919) 499-2301,1616 Mckoy Town Rd,,,Cameron,NC,28326
Harnett,Tire,TP,4308-TIRETP-,Central Carolina Tire Processing,Active,Mr. Brian Thomas,(919) 499-2301,1616 Mckoy Town Rd,,,Cameron,NC,28326
Person,Tire,Collection,7306-TIRECOLL-2014,Person County Recycling Center,Active,Ms. Rhonda Gentry,(336) 583-1308,601 N. Madison Blvd,741 Martin St,,Roxboro,NC,27573
Surry,Tire,TP,8607-TIRETP-2013,"New River Tire Recycling, LLC",Active,Mr. Ben Bryant,(276) 728-0201,PO Box 1752,312 E 52 Bypass,,Pilot Mountain,NC,27041
Brunswick,Type I,Compost,1007-COMPOST-,Brunswick County Compost Facility,Active,Mr. Jeremy Baker,(910) 253-6314,PO Box 249,172 Landfill Rd NE,,Bolivia,NC,28422
Buncombe,Type I,Compost,1109-COMPOST-,Hensons' Inc. Mulch & More Asheville,Active,Mr. Randy Flynn,(828) 859-5836,PO Box 1060,116 Pond Rd.,,Tryon,NC,28782
Cabarrus,Type I,Compost,1302-COMPOST-2013,Cabarrus County Organics Reclamation Facility,Active,Mr. Kevin Grant,(704) 920-3209,PO Box 707,,,Concord,NC,28026-0707
Catawba,Type I,Compost,1803-COMPOST-,Blackburn Resource Recovery Composting Facility,Active,Mr. Rodney Hamby,(704) 462-1348,PO Box 389,3993 Rocky Ford Road,,Newton,NC,28658
Catawba,Type I,Compost,1806-COMPOST-,"Hickory, City of  Compost Facility",Active,Mr. Andrew Ballentine,(828) 323-7439,PO Box 398,909 Cloninger Mill Rd NE,,Hickory,NC,28601
Cleveland,Type I,Compost,2306-COMPOST-2021,FIsher Environmental Type 1 Compost Facility,Active,Mr. Stephen FIsher,(704) 692-4202,1323 North Post Road,,,Shelby,NC,28150
Craven,Type I,Compost,2506-COMPOST-1991,New Bern Yard Waste Facility,Active,Mr. David Cox,(252) 639-7521,Coxd@Newbernnc.Gov,1803 Country Club Road,,New Bern,NC,28563-1129
Craven,Type I,Compost,2511-COMPOST-2000,CRSWMA Composting Facility,Active,Mr. Bobby Darden,(252) 633-1564,PO Box 128,7400 Old Highway 70 West,,Cove City,NC,28523
Cumberland,Type I,Compost,2610-COMPOST-2011,Wilkes Road Yard Waste Facility,Active,Ms. Amanda Bader,(910) 438-4041,698 Ann Street,771 Wilkes Road,,Fayetteville,NC,28306
Davidson,Type I,TP,2908-TP-,"Todco, Inc. Wood Recycling",Active,Mr. Todd Warfford,(336) 248-2001,1123 Roy Lopp Road,,,Lexington,NC,27292
Durham,Type I,Compost,3204-COMPOST-1991,Durham Compost Facility,Active,Mr. Dan Parker,(919) 560-4186,1833 Camden Ave,2115 E. Club Blvd,,Durham,NC,27704
Edgecombe,Type I,Compost,3301-COMPOST-2020,Edgecombe County Compost,Active,Ms. Gloria Moseley,(258) 827-4253,PO Box 10,2872 Colonial Road,,Tarboro,NC,27886
Forsyth,Type I,Compost,3423-COMPOST-,"Winston-Salem, City of Compost",Active,Mrs. Janis McHargue,(336) 747-7310,180 North Star Drive,,,Rural Hall,NC,27045
Forsyth,Type I,Compost,3427-COMPOST-2015,Piney Hill Acres Large Type 1 Compost Unit,Active,Mr. David Lawson,(336) 682-2317,2020 Piney Grove Road,,,Kernersville,NC,27284
Gaston,Type I,Compost,3614-COMPOST-2011,Gastonia Compost,Active,Mr. Wayne Hendrickson,(704) 214-9086,PO Box 1748,3175 Duke St,,Gastonia,NC,28053
Guilford,Type I,Compost,4103-COMPOST-2003,"Greensboro, City of Compost Facility",Active,Mr. Richard Lovett,(336) 373-4188,2503 White Street,,,Greensboro,NC,27406
Guilford,Type I,Compost,4110-COMPOST-,Ingleside Compost Facility,Active,Mr. Michael Spencer,(336) 688-3454,PO Box 230,3001 Ingleside Dr,,High Point,NC,27260
Mecklenburg,Type I,Compost,6012-COMPOST-1991,Mecklenburg County Compost Central,Active,Mr. Steve Hoffman,(980) 314-3873,2145 Suttle Ave,5631 West Blvd,,Charlotte,NC,28208
Mecklenburg,Type I,Compost,6019-COMPOST-2017,Mecklenburg County Landfill,Active,Ms. Amber Grzymski,(980) 314-3855,17131 Lancaster Highway,,,Charlotte,NC,28208
Mecklenburg,Type I,Compost,6036-COMPOST-2017,Mecklenburg County Compost and Recycling Facility,Active,Mr. Joe Hack,(980) 314-3855,140 Valleydale Road,,,Charlotte,NC,28208
Nash,Type I,Compost,6407-COMPOST-2018,Rocky Mount Compost Facility,Active,Mr. Chris Pridgen,(252) 467-4904,PO Box 1180,394 Arrow Road,,Rocky Mount,NC,27801
Randolph,Type I,Compost,7608-COMPOST-2017,"Asheboro, City of Compost Facility",Active,Mr. Barry Hamilton,(336) 736-9025,PO Box 1106,,,Asheboro,NC,27204
Rockingham,Type I,Compost,7908-COMPOST-2018,Reidsville Yard Waste & Material Recovery Facility,Active,Mr. Gary French,(336) 349-1074,1100 Vance St.,407 Broad St.,,Reidsville,NC,27320
Rowan,Type I,Compost,8006-COMPOST-2015,Salisbury Grants Creek Compost Facility,Active,Madison Kluge,(704) 638-2098,1955 Grubb Ferry Road,,,Salisbury,NC,28144
Union,Type I,Compost,9015-COMPOST-2020,Union County Large Type 1 Compost Unit,Active,Mr. Christopher Medlin,(704) 989-1949,2125 Austin Chaney Road,,,Wingate,NC,28174
Wake,Type I,Compost,9213-COMPOST-1991,"Raleigh, City of Yard Waste Facility",Active,Mr. Timothy Gainer,(919) 996-6030,630 Beacon Lake Drive,900 N.New Hope Rd,,Raleigh,NC,27610
Wake,Type I,Compost,9230-COMPOST-,"Greenway Waste Solutions of Apex, LLC",Active,Mr. Grant Kiser,(919) 367-2895,5940 Old Smithfield Rd,,,Apex,NC,27539
Chowan,Type II,Compost,2102-COMPOST-2015,Good Earth Horticulture,Active,Mr. R V Knight,(252) 482-8528,2116 Bio Comp Drive,,,Edenton,NC,27932
Nash,Type II,Compost,6406-COMPOST-2014,"Carolina Recycled Ag Materials, LLC.",Active,Mr. Kyle Bass,(252) 343-1615,PO Box 519,4330 Universal Leaf Drive,,Nashville,NC,27856
Anson,Type III,Compost,0405-COMPOST-2014,"Ronnie Oaks dba Liquid Waste, Inc.",Active,Mr. Ronnie Oaks,(704) 294-0230,2323 Diggs Road,,,Wadesboro,NC,28170
Buncombe,Type III,Compost,1115-COMPOST-2009,Warren Wilson College,Active,Mrs. Megan Davis,(828) 771-2014,PO Box 9000,701 Warren Wilson Road,,Asheville,NC,28815-9000
Buncombe,Type III,Compost,1118-COMPOST-2016,"Danny's Dumpster, Inc.",Active,Mr. Danny Keaton,(828) 380-9094,120 Hardesty Lane,-,,Asheville,NC,28805
Chatham,Type III,Compost,1905-COMPOST-,Dean Brooks Farm,Active,Mrs. Amy Fulford,(919) 842-6063,1195 Beal Road,,,Goldston,NC,27252
Craven,Type III,Compost,2514-COMPOST-2014,Craven Ag Service Compost Facility,Active,Mr. John Dunham,(252) 670-8530,2115 Hwy 55 West,5303 River Rd,,New Bern,NC,28562
Davie,Type III,Compost,3004-COMPOST-2014,Davie County Compost Facility,Active,Mr. Eric Wallace,(704) 875-2975,221 Wallace Farm Lane,,,Advance,NC,27006
Davie,Type III,Compost,3005-COMPOST-2014,Gallins Family Farm,Active,Mrs. Lyndsy Gallins,(336) 448-9494,4625 Country Club Rd.,222 Rocky Dale Lane,,Winston-Salem,NC,27104
Durham,Type III,Compost,3216-COMPOST-2017,"New Soil Vermiculture, LLC",Active,Mr. Garry Lipscomb,(202) 374-0403,314 Latta Rd,1009 Milton Rd,,Durham,NC,27712
Forsyth,Type III,Compost,3421-COMPOST-2010,Dixie Classic Fairgrounds,Active,Mr. David Smith,(336) 409-4881,421 West 27th St,,,Winston Salem,NC,27109
Franklin,Type III,Compost,3506-COMPOST-2012,David Brantley & Sons Compost Facility,Active,Mr. Nicholas Cardellla,(984) 209-2966,1404 Angier Avenue,154 Green House Drive,,Durham,NC,27701
Gaston,Type III,Compost,3613-COMPOST-2017,Earth Farms Organics,Active,Mr. Ryan Ellis,(704) 689-9249,351 Colt Thornburg Road,,,Dallas,NC,28034
Hyde,Type III,Compost,4801-COMPOST-,Rose Acre Farms,Active,Mr. William Kelm,(252) 935-5800,1657 W. Tipton St.,1560 Hyde Park Canal,,Seymour,NC,47274
Lee,Type III,Compost,5303-COMPOST-1992,Sanford Compost Facility,Active,Mr. Kris Furmage,(919) 777-1209,PO Box 379,601 N. 5th St,,Sanford,NC,27331
Macon,Type III,Compost,5705-COMPOST-,"B & B Concrete Products, Inc.",Active,Mr. Jeremy Decker,(828) 524-6483,1687 Georgia Road,,,Franklin,NC,28734
Mecklenburg,Type III,Compost,6022-COMPOST-,Wallace Farms Compost Facility,Active,Mr. Eric Wallace,(704) 875-2975,14410 Eastfield Road,,,Huntersville,NC,28078
Mecklenburg,Type III,Compost,6030-COMPOST-2013,Davidson College Compost Facility,Active,Mr Charles Jolly,(704) 400-3451,209 Ridge Road,-,,Davidson,NC,28035
Mecklenburg,Type III,Compost,6033-AD-COMPOST-2015,Orbit Energy Anaerobic Digester Charlotte,Active,Mr. Zack Morgan,(704) 941-0890,600 Johnson Road,,,Charlotte,NC,28206
Onslow,Type III,Compost,6710-COMPOST-1999,Camp Lejeune Compost Facility,Active,Ms. Katherine Proffitt,(910) 451-5836,12 Post Lane,Piney Green Road,,Camp Lejeune,NC,28547
Randolph,Type III,Compost,7604-COMPOST-,N.C. Zoological Park,Active,Mr. Jody Stancil,(336) 879-7420,4401 Zoo Parkway,,,Asheboro,NC,27205
Sampson,Type III,Compost,8205-COMPOST-2015,Coastal Protein,Active,Mr. Blake Bullard,(910) 237-2576,1600 Martin Rd,,,Godwin,NC,28344
Wake,Type III,Compost,9235-COMPOST-2003,NC State University Compost Facility & Research Cooperative,Active,Mr. Matt Bal,(919) 830-0766,Campus Box 7516 -- Sullivan Shops Iii,4231 Inwood Road,,Raleigh,NC,27695
Watauga,Type III,Compost,9504-COMPOST-2011,Appalachian State University,Active,Mr. Max Alff,(828) 406-2289,265 Dale St.,,,Boone,NC,28608
Watauga,Type III,Compost,9505-COMPOST-,Triple T Pumping Compost Facility,Active,Mr. Mike Garlock,(828) 265-9005,1372 NC Hwy 194 N,,,Boone,NC,28607
Wilson,Type III,Compost,9810-COMPOST-2016,D&D Septic Compost Facility,Active,Mr. Daniel Newsome,(919) 920-0368,441 Buck Newsome Road,7984 Pelt Rd,,Fremont,NC,27830
Chatham,Type IV,Compost,1906-COMPOST-2020,McGill -  Merry Oaks Compost Facility,Active,Mrs. Misti Godwin,(919) 977-0441,634 Christian Chapel Church Road,,,New Hill,NC,27562
Edgecombe,Type IV,Compost,3303-COMPOST-2010,"Eastern Compost, LLC",Active,Mrs. Jean Smith,(252) 446-2536,PO Box 460,8487 Battleboro-Leggett Road,,Battleboro,NC,27809
Forsyth,YW,TP,3409-TP-,Overdale Yard Waste Facility,Active,Mrs. Jan McHargue,(336) 747-7310,3336 Old Salisbury Road,,,Winston-Salem,NC,27127
Forsyth,YW,TP,3425-TP-2011,"Winston-Salem, City of Treatment & Processing Site",Active,Mr. Tobias Mack,(336) 734-1490,2000 Lowery Street,3 W. 32nd. Street,,Winston-Salem,NC,27101
Granville,YW,TP,3903TP-TP-2009,John Bryan Yard Waste Recycling,Active,Mr. John Bryan,(919) 690-2640,3092 Sam Usry Road,,,Oxford,NC,27565
Mecklenburg,YW,Compost,6015TP-COMPOST-,Hensons' Inc. Mulch & More Pineville,Active,Mr. Randy Flynn,(828) 859-5836,PO Box 1060,13010 Lancaster Hwy,,Tryon,NC,28782
Montgomery,YW,TP,6204-TP-2011,Uwharrie T&P Facility,Active,Mr. Joseph Reynolds,(910) 606-3210,500 Landfill Road,,,Mount Gillead,NC,27306
Moore,YW,TP,6301-TP-2013,Moore County Yard Waste Collection Units,Active,Mr. David Lambert,(910) 947-4318,PO Box 905,456 Turning Leaf Way,,Carthage,NC,28327
New Hanover,YW,Compost,6504-COMPOST-2018,New Hanover County Compost Facility,Active,Mr. Joe Suleyman,(910) 798-4403,3002 US Highway 421 North,5210 US Highway 421 North,,Wilmington,NC,28401
Scotland,YW,Compost,8303-COMPOST-2021,"City of Laurinburg, Type 1 Compost Facility",Active,Angie Foster,(910) 276-2364,600 Hall Street,,,Laurinburg,NC,28352

